discipline,performance,wind,competitor,date_of_birth,country,venue,gender,date,year,record_type,is_indoor,pending_ratification,mixed_gender_race,women_only_race,venue_country,venue_city,venue_country_official_name,venue_country_region,venue_country_subregion,venue_country_latitude,venue_country_longitude,comp_country_official_name,comp_country_region,comp_country_subregion,comp_country_latitude,comp_country_longitude
Sprint Medley 1000m,2:03.42,,Jamaica U18,,JAM,Lille (FRA),W,2011-07-10,2011,U18 World Best Performances,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Jamaica,Americas,Caribbean,18.25,-77.5
Javelin Throw (700g),83.16,,Morné MOOLMAN,1994-09-01,RSA,Lille (FRA),M,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of South Africa,Africa,Southern Africa,-29.0,24.0
60 Metres Hurdles,7.60,,Ashton EATON,1988-01-21,USA,Tallinn (EST) (i),W,2011-02-06,2011,Combined Best Performances,True,False,False,False,EST,Tallinn,Republic of Estonia,Europe,Northern Europe,59.0,26.0,United States of America,Americas,North America,38.0,-97.0
Long Jump,8.54,+1.7,Mitchell WATT,1988-03-25,AUS,"Olympiastadion, Stockholm (SWE)",W,2011-07-29,2011,Oceanian Records,False,False,False,False,SWE,"Olympiastadion, Stockholm",Kingdom of Sweden,Europe,Northern Europe,62.0,15.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
Octathlon Boys,6491,,Jake STEIN,1994-01-17,AUS,Lille (FRA),W,2011-07-07,2011,U18 World Best Performances,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
Half Marathon,1:07:11,,Kimberley SMITH,1981-11-19,NZL,"Philadelphia, PA (USA)",W,2011-09-18,2011,Oceanian Records,False,False,False,False,USA,"Philadelphia, PA",United States of America,Americas,North America,38.0,-97.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
1500 Metres,4:09.48,,Faith KIPYEGON,1994-01-10,KEN,Lille (FRA),M,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
Sprint Medley 1000m,2:03.42,,Jamaica U18,,JAM,Lille (FRA),M,2011-07-10,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Jamaica,Americas,Caribbean,18.25,-77.5
Octathlon Boys,6491,,Jake STEIN,1994-01-17,AUS,Lille (FRA),W,2011-07-07,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
"10,000 Metres Race Walk",40:51.31,,Pavel PARSHIN,1994-01-02,RUS,Lille (FRA),W,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Russian Federation,Europe,Eastern Europe,60.0,100.0
Javelin Throw (700g),83.16,,Morné MOOLMAN,1994-09-01,RSA,Lille (FRA),W,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of South Africa,Africa,Southern Africa,-29.0,24.0
20 Kilometres Race Walk,1:25:08,,Vera SOKOLOVA,1987-06-23,RUS,Sochi (RUS),M,2011-02-26,2011,European Records,False,False,False,False,RUS,Sochi,Russian Federation,Europe,Eastern Europe,60.0,100.0,Russian Federation,Europe,Eastern Europe,60.0,100.0
"50,000 Metres Race Walk",3:35:27.2h,,Yohann DINIZ,1978-01-01,FRA,Reims (FRA),M,2011-03-12,2011,European Records,False,False,False,False,FRA,Reims,French Republic,Europe,Western Europe,46.0,2.0,French Republic,Europe,Western Europe,46.0,2.0
800 Metres,1:44.08,,Leonard Kirwa KOSENCHA,1994-08-21,KEN,Lille (FRA),M,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
3000 Metres,7:40.10,,William Malel SITONIK,1994-03-01,KEN,Lille (FRA),M,2011-07-10,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
"25,000 Metres",1:12:25.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",M,2011-06-03,2011,African Records,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
"30,000 Metres",1:26:47.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",M,2011-06-03,2011,African Records,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
